Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
aaien;5,2;0,74;64;3,97;1,25;64;3,44;1,13;64;4,71;2,05;32;0,32;2,1;5;0;V
aal;3,42;0,75;64;3,9;1,48;60;3,44;1,12;57;8,03;2,39;31;-0,1;0,8;3;5,4;N
aalmoes;3,3;0,99;64;3,1;1,16;61;2,81;1,31;64;9,38;2,66;30;-0,02;0,96;7;2,2;N
aandachtig;5,3;0,68;64;4,88;1,09;64;4,88;0,86;64;7,52;2,08;32;0,37;2,33;10;0;A
aangenaam;5,94;0,71;64;3,72;1,3;64;4,67;1,07;64;8,19;2,06;32;1,76;57,86;9;0;A
aanslag;1,88;0,95;64;6,06;0,99;64;5,66;1,25;64;8,29;2,58;32;1,23;17,06;7;0;N
aanstoot;3,05;0,82;64;4,86;1;63;4,62;1,01;63;9,42;2,74;32;-0,05;0,89;8;0,9;N
aanstotelijk;3,16;1,1;63;5,03;0,94;62;4,44;1,35;63;9,83;2,96;30;-1,64;0,02;12;2,7;A
aantrekkelijk;6,19;0,71;64;4,86;1,18;64;5,28;0,9;64;8,87;1,89;32;1,24;17,2;13;0;A
aanval;2,59;0,97;64;5,89;1,18;64;5,38;1,03;64;6,13;2,08;32;1,68;47,59;6;0;N
aanvallen;2,92;1,16;64;6,28;0,74;64;5,56;0,94;64;6,06;1,82;32;1,59;38,6;9;0;V
aanvallend;2,86;1,07;64;5,94;0,83;64;5,63;0,92;64;7,58;2,32;32;-0,56;0,27;10;0;A
aanwinst;5,7;0,66;64;4,45;1,13;64;4,91;1,08;64;8,74;2,82;32;0,47;2,97;8;0;N
aanzien;5,09;0,85;64;4,11;1,21;64;4,7;1,41;64;9,1;2,56;32;0,9;7,87;7;0;N
aanzienlijk;4,77;0,87;64;4,09;1,03;64;4,94;1,07;64;9,48;3,2;32;0,38;2,42;11;0;A
aap;4,5;0,93;64;5,16;1,13;64;3,97;1,13;64;3,71;1,53;32;1,46;28,56;3;0;N
aard;4,23;0,68;64;3,2;1,16;64;4,11;1,07;64;8,27;2,13;31;1,19;15,32;4;0,4;N
aardbei;5,42;0,85;64;3,28;1,2;64;3,34;1,12;64;4,32;1,35;32;0,19;1,56;7;0;N
aardbeving;2,13;0,98;64;6,02;1,2;64;6,05;1,24;64;6,84;2,05;32;0,99;9,86;10;0;N
aarde;4,83;1,08;64;3,58;1,63;64;4,56;1,32;64;5,06;2,11;32;2;100,07;5;0;N
aars;2,68;1,11;62;3,89;1,15;63;4,25;1,04;61;9,7;2,41;31;-0,08;0,82;4;3,1;N
aas;3,73;0,95;64;3,59;1,33;64;3,05;1,56;63;7,74;2,32;32;0,96;9,06;3;0,4;N
absurd;3,22;0,92;64;4,33;1,29;64;4,23;1,23;64;9,1;2,84;32;0,99;9,86;6;0;A
abt;3,76;0,67;55;3,11;1,11;56;3,87;1,25;52;10,1;3,16;22;0,07;1,17;3;17,5;N
accent;4,3;0,79;64;3,83;1,09;64;4,06;0,94;64;8,16;2,4;32;1,07;11,64;6;0;N
achten;4,23;0,77;64;3,85;1,11;62;4,38;0,93;64;9,87;2,74;32;0,56;3,64;6;0,9;V
acne;2,2;0,84;64;3,92;1,4;64;3,91;1,62;64;10,48;2,16;32;-0,32;0,48;4;0;N
act;4,14;0,83;64;4,58;1,11;64;4,03;1;61;9,48;2,73;32;0,88;7,59;3;1,3;N
actief;5,42;0,83;64;6,19;0,85;64;5,2;0,78;64;6,87;1,98;32;0,99;9,72;6;0;A
acuut;3,27;0,82;64;5,24;1,36;62;5,06;1,1;64;10,48;3,45;32;-0,24;0,57;5;0,9;A
adder;3,16;0,96;64;4,56;1,32;63;4,34;1,07;64;7,26;2,24;32;-0,12;0,75;5;0,4;N
adel;4,41;1,02;64;3,48;1,17;64;5,16;1,1;64;8,29;2,41;32;0,63;4,28;4;0;N
adelaar;4,61;0,88;64;4,83;1,06;64;4,91;1,26;64;7,81;2,43;32;0,59;3,93;7;0;N
adem;4,78;0,9;64;3,92;1,3;64;4,28;1,29;64;5,1;2,1;32;1,73;53,14;4;0;N
ader;3,75;0,71;64;4,25;1,08;64;4,2;1,1;64;7,65;2,29;32;0,51;3,27;4;0;N
adres;4,14;0,39;64;3,3;1,2;64;3,77;0,99;64;5,97;1,38;32;1,76;57,38;5;0;N
advies;5,23;0,77;64;4,11;1,2;64;4,81;0,97;64;8,16;2,9;32;1,52;33,23;6;0;N
advocaat;3,92;0,98;64;4,66;1,1;64;5,19;1,21;64;8,32;2,41;32;2,01;102,88;8;0;N
afbreken;2,78;0,68;64;5,05;1,08;64;4,48;1,37;64;6,61;2,56;32;0,83;6,79;8;0;V
afgunst;2,22;0,72;64;4,39;1,32;64;3,73;1,67;64;9,23;2,63;32;0,19;1,56;7;0;N
afhankelijk;2,73;0,65;64;3,14;1,22;64;2,69;1,5;64;8,9;2,57;32;1,01;10,24;11;0;A
afkeer;2,17;0,85;64;4,5;1,25;64;4,47;1,44;64;8,39;3,08;32;0,45;2,79;6;0;N
afkeren;2,59;0,73;64;4,36;1,17;64;4;1,41;64;8,77;2,51;32;-0,56;0,27;7;0;V
afkerig;2,46;0,62;63;3,94;1,18;64;3,77;1,39;64;9,8;3,12;31;-0,6;0,25;7;0,9;A
afscheid;2,39;0,88;64;4,31;1,36;64;4,31;1,4;64;6,68;2,34;32;1,55;35,45;8;0;N
afschermen;3,66;0,89;64;4,59;0,99;64;3,94;1,4;64;8,29;2,61;32;-0,3;0,5;10;0;V
afschuw;2,09;0,83;64;4,84;1,45;64;4,45;1,48;64;8,13;2,59;32;0,21;1,62;7;0;N
afstand;3,45;0,66;64;3,38;1,16;64;4,06;1,19;64;6,23;1,48;32;1,6;39,97;7;0;N
afstotelijk;2,09;0,89;64;4,45;1,46;64;3,97;1,72;64;9,42;2,86;32;-0,07;0,85;11;0;A
afstoten;2,44;0,71;64;4,94;1,02;64;4,42;1,54;64;8,52;2,89;32;-0,16;0,69;8;0;V
afval;2,61;0,77;64;3,28;1,23;64;3,44;1,33;64;5,84;1,59;32;1,09;12,44;5;0;N
afwachten;3,5;0,8;64;2,77;1,14;64;3,34;1,14;64;7,39;2,03;32;0,99;9,81;9;0;V
afwachtend;3,55;1,05;64;2,55;0,87;64;3,03;1,13;64;9;2,72;32;-0,53;0,3;10;0;A
afwijzen;2,34;0,76;64;4,59;1,15;64;4,59;1,33;64;8,29;2,44;32;0,5;3,13;8;0;V
agentschap;4;0,82;64;3,92;1,15;63;4,72;1,09;64;10,23;2,72;32;0,59;3,91;10;0,4;N
agressie;1,98;0,85;64;6,08;0,84;64;5,45;1,38;64;7,97;2,52;32;0,7;4,99;8;0;N
agressief;1,88;0,65;64;6,11;0,93;64;5,5;1,41;64;8,13;2,46;32;0,97;9,33;9;0;A
aids;1,47;0,69;64;4,69;1,5;64;4,38;2,04;64;10,45;2,77;32;0,55;3,57;4;0;N
akker;4,29;0,66;63;3,42;1,45;64;3,73;1,01;64;7,13;2,63;32;-0,16;0,69;5;0;N
akkoord;5,3;0,85;64;4,17;1,05;64;4,59;1,09;64;7,29;2,19;32;1,55;35,08;7;0;N
akte;4,11;0,54;64;3,38;1,2;64;4,55;0,91;64;10,35;2,9;32;0,62;4,18;4;0;N
alarm;2,88;0,88;64;5,59;1,31;64;5,19;1,04;64;6,06;1,59;32;1,54;34,78;5;0;N
album;4,63;0,86;64;3,38;1,28;64;4,08;0,86;64;6,68;2,27;32;0,76;5,79;5;0;N
alcholisme;1,95;0,81;64;4,55;1,27;64;3,91;2,04;64;10;3,12;32;-0,28;0,53;10;0;N
alert;4,84;1;64;5,27;0,98;64;5,03;0,99;64;9,06;2,72;32;0,78;6,01;5;0;A
alleen;2,78;0,95;64;2,55;1,21;64;2,7;1,31;64;5,19;1,89;32;3,17;1469,24;6;0;A
altaar;4,22;1,03;64;2,95;1,37;64;4,08;1,28;64;6,77;2,38;32;0,72;5,28;6;0;N
ambacht;4,59;0,79;64;4,7;1,27;64;4,38;1,03;64;9,52;2,66;32;-0,64;0,23;7;0;N
ambitie;5,66;1,01;64;5,45;1,04;64;5,53;1,13;64;9,81;2,93;32;0,77;5,85;7;0;N
ambitieus;5,64;1;64;5,64;0,86;64;5,53;0,99;64;10,13;2,92;32;0,64;4,37;9;0;A
ambt;4,13;0,63;64;3,77;1,24;64;4,42;1,05;64;10,45;2,73;32;0,37;2,36;4;0;N
ander;4;0,84;64;3,81;0,87;64;4,08;0,96;64;5,32;2,14;32;2,28;190,22;5;0;N
angel;2,88;0,9;64;4,4;1,23;63;4,81;1,07;62;7,55;3,08;32;1,03;10,63;5;1,3;N
angst;2,22;0,79;64;5,36;1,29;64;3,84;1,71;64;5,45;1,71;32;1,84;69,34;5;0;N
angstig;2,11;0,72;64;5,39;1,15;64;3,11;1,66;64;6,55;2,14;32;0,61;4,09;7;0;A
anijs;4,06;1,02;64;3,21;1,33;63;3,95;1,17;62;9,7;2,94;31;-1,16;0,07;5;1,8;N
anjer;4,61;0,75;62;3,19;1,19;63;3,52;1,23;60;8,83;2,79;30;-0,53;0,3;5;4;N
anker;4,25;0,69;64;3,02;1,28;64;4,84;1,22;64;7,03;2,07;32;0,7;5,03;5;0;N
ansjovis;3,8;1,01;64;3,47;1,11;64;3,52;1,2;64;9,29;2,96;32;0,14;1,39;8;0;N
anti;2,67;0,87;64;4,28;1,42;64;4,64;1,58;64;8,48;2,32;32;0,11;1,28;4;0;R
antiek;4,38;1;64;2,84;1,32;64;3,81;1,23;64;8,1;2,52;32;0,65;4,44;6;0;A
antilope;4,61;0,9;64;5;1,3;63;3,87;1,24;61;8,1;2,89;32;-0,3;0,5;8;1,8;N
antwoord;4,56;0,71;64;4,05;1;64;4,11;0,94;64;4,87;1,45;32;2,15;140,11;8;0;N
anus;2,81;0,94;64;3,61;1,16;64;4,22;1,15;64;9,58;2,85;32;0,33;2,15;4;0;N
apathie;2,57;1,17;63;2,67;1,53;63;3,57;1,55;63;12,53;3,54;31;-0,3;0,5;7;1,8;N
apathisch;2,33;0,84;63;2,58;1,58;64;3,25;1,65;61;12,32;3,48;32;-0,41;0,39;9;1,8;A
appel;4,77;0,77;64;3,3;1,28;63;3,8;1,1;64;3,87;1,43;32;1,01;10,2;5;0,4;N
applaus;5,81;0,79;64;5,33;1,15;63;5;1,22;64;5,71;1,62;32;1,24;17,38;7;0,4;N
aquarium;4,63;0,68;63;3,3;1,35;64;3,84;0,98;64;6,61;2,08;32;0,46;2,88;8;0,4;N
arbeid;4,11;0,86;64;5,41;1,05;64;4,38;1;64;7,61;2,06;32;0,39;2,47;6;0;N
are;4,17;0,53;58;3,21;1,35;57;4;1,34;49;9,75;2,19;28;0,14;1,37;3;13,9;N
arend;4,42;0,73;64;4,84;1,05;63;5,08;1,19;64;6,61;2,28;32;0,31;2,06;5;0,4;N
argwaan;2,48;0,71;64;4,42;1,11;64;4,13;1,35;64;10,39;2,47;32;0,48;3;7;0;N
ark;4,11;0,52;62;3,7;1,29;64;4,59;1,39;63;7,16;2,82;32;0,75;5,63;3;1,3;N
arm;3,36;1,15;64;3,55;1,27;64;3,48;1,25;64;3,87;1,65;32;1,9;79,26;3;0;N
armoe;1,95;0,95;62;3,24;1,15;62;3,05;1,55;63;7,2;2,25;31;-0,12;0,75;5;2,7;N
armoede;1,89;0,86;64;3,36;1,29;64;2,75;1,57;64;7,16;1,55;32;0,73;5,35;7;0;N
armoedig;2,09;0,77;64;3,16;0,93;64;2,72;1,28;64;8,03;2,2;32;-0,14;0,73;8;0;A
armzalig;2,17;0,75;64;3,06;0,99;64;2,55;1,23;64;8,32;2,81;32;-0,04;0,91;8;0;A
arrest;2,45;0,83;64;4,77;1,27;64;5;1,08;63;9,48;3,11;32;1,06;11,55;6;0,4;N
arrogant;2,27;0,9;64;5,02;1,03;64;4,91;1,49;64;9,29;2,42;32;0,88;7,57;8;0;A
artistiek;5,28;0,92;64;4,3;1,09;64;4,55;1,19;64;9,65;2,26;32;0,33;2,13;9;0;A
arts;4,86;1,11;64;4,67;1,22;64;5,23;0,96;64;6,32;2,06;32;1,52;32,79;4;0;N
as;3;0,97;63;2,75;1,3;64;3,28;1,3;64;7,45;2,22;32;1,19;15,39;2;0;N
asiel;2,83;1,05;64;4,08;1,28;64;3,41;1,12;64;8;2,79;32;0,69;4,87;5;0;N
asociaal;2,11;0,74;64;3,78;1,54;64;3,95;1,61;64;9,1;2,82;32;0,01;1,03;8;0;A
aspect;4,17;0,38;64;3,38;1,09;64;3,97;0,78;64;9,9;2,8;32;0,43;2,72;6;0;N
assertief;5,55;0,87;64;5,41;0,94;63;5,59;1,14;63;12,03;3,4;32;-0,28;0,53;9;0,9;A
astma;2,44;0,92;64;4,25;1,23;64;3,66;1,58;64;8;2,49;32;0,52;3,32;5;0;N
atlas;4,25;0,56;64;3,17;1,13;64;4,08;0,91;64;8,48;2,36;32;0,04;1,1;5;0;N
atleet;5,03;0,94;64;5,94;0,89;64;5,05;0,92;64;7,1;2,29;32;0,41;2,58;6;0;N
attent;5,8;0,8;64;4,39;1,14;64;4,47;1,23;64;9,29;2,36;32;0,85;7,07;6;0;A
aula;4,16;0,76;64;3,75;1,21;64;4,22;1,05;64;12,03;7,43;32;-0,16;0,69;4;0;N
aura;4,73;0,89;62;3,35;1,37;62;4,34;1,49;61;10,96;3,05;29;0,21;1,62;4;4,5;N
auto;4,53;0,96;64;4,84;1,18;64;4,72;0,97;64;3,71;1,49;32;2,66;458;4;0;N
autonomie;5,22;0,95;64;4,35;1,46;63;5,55;0,94;64;11,65;3,64;32;-0,56;0,27;9;0,4;N
autononoom;5,14;1,12;56;4,44;1,38;57;5,36;1,24;58;11,44;3,82;28;-0,46;0,34;10;11,2;A
autoritair;2,69;0,89;64;5,06;1,1;64;6,05;1,19;64;11,58;2,73;32;-0,56;0,27;10;0;A
autoriteit;3,52;1,02;64;4,73;1,13;64;5,89;1,18;64;10,74;3,07;32;0,7;4,99;10;0;N
avond;5;0,93;64;3,61;1,3;64;3,97;1,15;64;4,19;1,45;32;2,26;180,61;5;0;N
avontuurlijk;5,69;0,79;64;5,86;1,05;63;5,27;1,17;64;7,1;2,09;32;0,19;1,53;12;0,4;A
azen;3,59;1,01;63;4,8;1,1;64;4,49;1,27;63;8,94;2,8;32;0,46;2,88;4;0,9;V
azijn;3,2;0,88;64;3,67;1,33;64;4,36;1,26;64;6,81;2,3;32;0,23;1,69;5;0;N
baai;4,55;0,82;64;3,27;1,2;64;4,08;1,15;64;8,45;2,58;32;0,65;4,5;4;0;N
baan;4,7;0,97;64;4,3;1,27;64;4,22;1,09;64;6,23;2,23;32;2,2;158,45;4;0;N
baard;4,06;0,97;64;3,17;1,12;64;4,17;1,12;64;5;1,57;32;1,07;11,64;5;0;N
baars;3,92;0,73;62;3,89;1,12;62;3,6;1,1;63;8;2,92;29;0,03;1,07;5;3,6;N
baas;3,73;0,9;64;4,92;1,01;64;5,67;1,18;64;5,45;1,84;32;2,22;167,21;4;0;N
baat;4,84;0,72;64;3,8;1,03;64;4,33;1,04;64;9,37;3,59;31;0,39;2,47;4;0,4;N
baby;5,45;1,05;64;4,64;1,3;64;2,72;1,39;64;4,16;1,71;32;2,18;151,8;4;0;N
bacon;4,49;1;63;3,56;1,22;64;3,92;1,04;63;9,06;2,87;32;0,58;3,8;5;0,9;N
bad;4,81;0,97;64;2,75;1,22;64;3,83;1,06;64;3,71;1,42;32;1,63;42,58;3;0;N
bak;3,84;0,72;64;3,39;1,24;64;3,77;1,09;64;5,06;1,67;32;1,6;39,77;3;0;N
baken;4,22;0,77;58;3,67;1,09;57;4,34;1,34;62;9,63;3,15;27;0,64;4,34;5;8,5;N
bakken;4,78;0,86;64;4,56;1,1;63;3,97;1,04;64;5,58;2,05;32;1,07;11,85;6;0,4;V
bakker;4,77;0,83;64;4,59;1,14;63;3,86;1,02;64;4,61;1,75;32;0,6;4;6;0,4;N
bal;4,58;0,73;64;4,53;1,31;64;3,8;1,01;64;3,39;1,15;32;1,91;80,63;3;0;N
balans;5,09;0,87;64;3,52;1,02;64;4,34;1,06;64;8,87;2,87;32;0,99;9,7;6;0;N
balen;2,58;0,71;64;3,98;1,3;64;3,52;1,18;64;8,65;2,04;32;0,63;4,25;5;0;V
balie;4,16;0,57;64;3,63;1,24;64;3,81;0,85;64;7,9;2,99;32;0,64;4,41;5;0;N
balk;4;0,36;64;3,09;1,24;64;4,27;1,12;64;6,42;1,78;32;0,26;1,81;4;0;N
balkon;4,81;0,81;64;2,97;1,14;63;3,98;0,97;64;6,19;2,33;32;0,82;6,63;6;0,4;N
ballon;4,97;0,82;64;3,55;1,32;64;3,19;1,33;64;3,97;1,49;32;0,72;5,28;6;0;N
balpen;4,25;0,53;64;3,38;1,34;64;3,69;1,15;64;5,77;1,59;32;-0,23;0,59;6;0;N
balsem;4,44;0,94;64;2,83;1,12;64;3,67;1,1;64;8,35;3,23;32;-0,46;0,34;6;0;N
bamboe;4,55;0,71;64;3,03;1,14;64;4,28;1,35;64;7,26;2,14;32;-0,16;0,69;6;0;N
banaal;3,08;0,89;62;3,4;1,39;63;3,33;1,32;60;11,31;2,97;30;0,08;1,19;6;4;N
band;4,72;0,97;64;3,97;1,18;64;4,17;1,23;64;5,74;2,11;32;1,9;79,28;4;0;N
bandiet;2,52;0,96;64;5,34;0,89;64;4,72;1,49;64;6,48;2,11;32;0,67;4,67;7;0;N
bangerik;2,53;0,67;64;3,75;1,55;64;2,3;1,24;64;6,23;1,67;32;-0,01;0,98;8;0;N
banjo;4,56;0,8;63;4,11;1,27;64;3,52;1,16;61;9,27;2,84;31;0,21;1,62;5;2,2;N
bank;4,28;0,77;64;2,97;1,17;64;4,41;0,95;64;5,03;2,18;32;1,96;91,91;4;0;N
bankroet;1,92;1,01;64;3,55;1,66;64;3,14;1,8;63;9,06;2,78;32;0,4;2,54;8;0,4;N
bannen;2,81;0,69;64;4,52;1,13;64;4,62;1,25;60;8,9;2,53;32;-0,08;0,82;6;1,8;V
bar;4,63;0,98;64;4,48;1,33;63;4,09;0,94;64;7,81;2,39;32;1,73;53,83;3;0,4;N
barak;3,31;0,89;61;3,53;1,3;62;3,89;1,21;63;9,22;2,86;28;0,55;3,54;5;4,5;N
barbaar;2,34;0,78;64;5,08;1,06;64;5,02;1,47;64;9,26;2,65;32;0,31;2,04;7;0;N
baren;4,47;1,15;64;5,53;1,22;64;4,64;1,29;64;9,16;2,76;32;0,58;3,84;5;0;V
barok;4,38;0,81;64;3,56;1,26;61;4,21;1,17;63;11,67;2,82;31;-0,69;0,21;5;2,2;A
baron;4,06;0,87;64;3,68;1,1;63;5,16;0,93;64;8,26;2,54;32;0,89;7,68;5;0,4;N
bars;3,29;1,09;52;4,04;1,15;51;4,1;0,98;49;10,08;3,4;24;0,43;2,7;4;21,1;A
barst;2,92;0,65;64;4,22;1,13;64;3,86;1,21;64;6,45;2,1;32;1,07;11,87;5;0;N
barsten;2,92;0,86;64;5,05;1,13;64;3,75;1,32;64;7;2,48;32;0,81;6,49;7;0;V
bas;4,45;0,85;64;3,73;1,36;62;4,5;1,27;64;8,63;2,71;31;0,28;1,92;3;1,3;N
basketbal;4,8;0,96;64;5,48;0,93;64;4,22;0,98;64;5,87;1,77;32;0,94;8,8;9;0;N
bast;4,06;0,74;50;3,27;1,24;52;4,36;0,97;55;8,67;3,16;25;-0,44;0,37;4;18,8;N
bastaard;2,72;0,83;64;4,21;1,19;63;3,98;1,37;63;10,42;2,71;32;0,84;7;8;0,9;N
baten;4,82;0,78;62;4,14;0,91;63;4,35;1,08;63;9,57;2,98;31;-0,32;0,48;5;2,2;V
bazaar;4,07;1,01;61;4,5;1,32;64;3,86;0,96;63;9,58;2,85;32;0,03;1,07;6;1,8;N
bazig;2,5;0,64;64;5,38;0,86;64;5,39;1,19;64;7,13;2,14;32;0,12;1,33;5;0;A
bazooka;2,65;1,13;60;5,84;1,31;61;5,87;1,23;62;9,61;2,99;29;0,11;1,28;7;5,4;N
bed;5,11;0,94;64;2,34;1,29;64;3,88;0,95;64;3,19;1,25;32;2,38;239,93;3;0;N
bedaard;4,4;0,91;63;2,7;0,98;63;3,53;1,15;64;8,87;3,33;32;-0,28;0,53;7;0,9;A
bede;4,02;0,89;60;3,4;1,11;58;3,27;1,04;56;9,21;2,53;28;-0,53;0,3;4;9,4;N
bedeesd;3,48;0,9;62;2,64;1,02;61;2,79;1,16;62;9,63;2,97;31;-0,46;0,34;7;3,6;A
bedelaar;2,45;0,78;64;3,42;1,29;64;2,34;1,28;64;7,42;2,16;32;0,4;2,54;8;0;N
bedreiging;2,13;0,79;64;5,53;1,14;64;5,28;1,3;64;8,32;2,3;32;1,24;17,43;10;0;N
bedreven;5,38;0,85;64;5,17;1,06;63;5,3;0,94;64;9,58;2,87;32;0,5;3,16;8;0,4;A
bedrieglijk;2,27;0,65;64;4,42;1,19;64;4;1,53;64;8,77;2,59;32;-0,12;0,75;11;0;A
bedrijvig;4,95;0,87;63;5,56;0,81;64;4,92;0,91;64;9,87;2,45;31;-1,04;0,09;9;0,4;A
bedroefd;2,28;0,77;64;3,36;1,3;64;3,14;1,17;64;6,97;2,69;32;0,73;5,4;8;0;A
bedroefdheid;2,27;0,76;64;3,28;1,2;64;3,16;1,28;64;8,03;2,59;32;-0,94;0,11;12;0;N
bedrog;1,91;0,77;64;4,97;1,13;64;4,14;1,67;64;8,19;2,41;32;0,98;9,6;6;0;N
beek;4,53;0,76;64;3,25;1,22;63;3,57;1,1;63;6,23;2,16;32;0,54;3,43;4;0,9;N
beeld;4,41;0,71;64;3,25;1,44;64;4,33;0,96;64;5,77;1,84;32;1,6;40,06;5;0;N
beeldschoon;6,47;0,71;64;4,5;1,38;64;5,17;1,3;64;7,32;2,53;32;0,84;6,86;11;0;A
been;4,25;0,53;64;3,92;1,06;64;4;0,93;64;4;1,53;32;1,73;53,63;4;0;N
beer;4,33;0,99;64;5,06;1,03;63;5,45;1,18;64;4,39;2,38;32;1,41;25,45;4;0,4;N
beerput;2,42;0,89;64;3,58;1,61;64;4,14;1,39;63;8,84;2,28;32;0,07;1,17;7;0,4;N
beest;3,48;1,13;64;5,22;1,11;64;5,17;1,09;64;4,42;1,54;32;1,72;52,55;5;0;N
beet;3,28;0,81;64;4,48;1,13;63;4,55;1,22;64;5,58;1,78;32;1,27;18,5;4;0,4;N
begeerte;4,87;1,25;63;5;1,26;64;4,52;1,28;63;10,9;3,47;32;0,24;1,74;8;0,9;N
begrafenis;1,72;0,83;64;2,8;1,62;64;4,14;1,64;64;6,84;1,86;32;1,55;35,19;10;0;N
begrijpend;5,48;0,84;64;3,83;1,16;64;4,61;1,18;64;7,87;2,47;32;-0,46;0,34;10;0;A
behangpapier;4,14;0,56;64;2,97;1,24;63;3,38;1,19;64;7,19;2,02;32;-0,69;0,21;12;0,4;N
behoeftig;3,08;1,03;64;4,19;1,31;64;3,13;1,42;64;9,65;2,78;32;-0,12;0,75;9;0;A
behoorlijk;4,84;0,74;64;4,2;1,09;64;4,48;1,01;64;8,35;2,63;32;1,62;41,25;10;0;A
behulpzaam;5,84;0,82;64;4,56;1,11;64;4,53;1,4;64;7,45;2,34;32;0,72;5,19;10;0;A
beige;3,95;0,72;64;3,13;1,12;64;3,33;1,16;64;7,35;2,03;32;0,23;1,69;5;0;A
beïnvloedbaar;2,92;0,8;64;3,61;1,41;64;2,89;1,43;64;9;2,82;32;-0,56;0,27;13;0;A
beitel;3,8;0,65;64;4,08;1,31;64;4,78;1,11;63;7,68;2,68;32;-0,15;0,71;6;0,4;N
bek;3,28;0,77;64;4,03;1,14;64;4,33;1,18;64;5,19;1,76;32;1,71;51,13;3;0;N
beker;4,53;0,67;64;3,52;1,3;64;4,17;1,16;64;4,39;2,06;32;0,94;8,78;5;0;N
bekken;4;0,57;63;4,14;1,17;64;3,98;0,92;63;9,52;3,02;32;0,35;2,24;6;0,9;N
bekommerd;4,28;1,2;64;4,35;1,22;63;3,58;1,22;64;9,45;2,83;32;-0,36;0,43;9;0,4;A
bekrompen;2,25;0,69;64;3,48;1,22;64;3,06;1,25;64;10;2,57;32;0,49;3,06;9;0;A
bekwaam;5,67;0,71;64;4,36;1,17;64;5,25;1,02;64;9,81;2,66;32;0,45;2,84;7;0;A
bel;4,2;0,54;64;4,27;1,1;64;4,05;1,03;64;4,71;1,88;32;2,49;311,67;3;0;N
belaagd;2,61;0,68;64;4,76;1,32;63;3,49;1,32;63;9,77;2,93;32;0,15;1,42;7;0,9;A
belabberd;2,36;0,72;64;3,13;1,13;64;2,95;1,43;64;9,26;2,52;32;0,22;1,65;9;0;A
belangrijk;5,41;0,83;64;4,88;1,18;64;5,25;1,04;64;6,48;2,29;32;2,23;170;10;0;A
belasting;2,61;0,97;64;4,14;1,42;64;4,66;1,34;64;9,23;2,89;32;1,05;11,3;9;0;N
belazerd;2,06;0,64;64;4,58;1,39;64;3,61;1,54;64;10,06;2,71;32;0,96;9,12;8;0;A
beledigd;2,38;0,68;64;4,53;1,26;64;4,09;1,5;64;7,71;2,15;32;1,11;12,92;8;0;A
belediging;2,17;0,85;64;4,72;1,09;64;4,55;1,54;64;8,16;2,49;32;0,85;7,09;10;0;N
beleefd;5,72;0,84;64;3,59;1,22;64;4,36;1,28;64;6,1;1,94;32;1,24;17,49;7;0;A
belezen;4,77;1,19;64;4,02;1,28;63;4,8;1,19;60;9,63;2,94;30;-0,46;0,34;7;2,7;A
belg;4,48;0,99;64;3,84;1,12;64;3,83;1,2;64;6,07;1,74;31;0,23;1,69;4;0,4;N
bellen;4,56;0,89;64;4,63;0,93;64;4;0,87;64;5,23;1,48;32;2,36;228,77;6;0;V
belonen;5,78;0,68;64;4,95;0,84;64;4,92;0,93;64;5,84;1,59;32;0,63;4,3;7;0;V
bemind;5,91;0,89;64;4,44;1,44;64;4,71;1,34;62;9,32;2,77;32;0,28;1,92;6;0,9;A
bemoeiziek;2,13;0,72;64;5,05;1,22;63;4,06;1,84;64;10;2,78;32;-0,86;0,14;10;0,4;A
benauwd;2,45;0,66;64;4,45;1,36;64;3,39;1,43;64;8,19;2,4;32;0,43;2,7;7;0;A
bende;2,78;0,9;64;5,06;1,14;64;4,91;1,31;64;6,39;1,69;32;1,51;32,24;5;0;N
benieuwd;5,33;0,69;64;4,81;0,94;64;4,41;1,09;64;7,16;2,6;32;1,17;14,77;8;0;A
beren;4,08;0,92;63;4,98;1,05;63;5,13;1,35;64;5,03;2,17;31;0,97;9,38;5;1,3;V
berg;4,45;1,04;64;3,42;1,55;64;5,11;1,37;64;5;1,77;32;1,54;34,3;4;0;N
berk;4,34;0,57;62;3,16;1,16;64;3,92;1,21;62;7,24;2,2;30;-0,64;0,23;4;2,7;N
berm;3,95;0,68;64;3,2;1,14;64;3,6;0,85;63;7,61;3,01;32;-0,16;0,69;4;0,4;N
beroemd;5,2;0,88;64;4,77;1,28;64;5,05;1,06;64;7;1,69;32;1,39;24,49;7;0;A
beroerd;2,42;0,79;64;3,56;1,38;64;3,27;1,39;64;8,35;3,56;32;0,9;7,96;7;0;A
berouw;3,52;1,34;63;3,72;1,31;64;3,81;1,5;63;9,1;2,71;32;0,76;5,79;6;0,9;N
berustend;4,4;1,01;63;2,81;1,25;64;3,78;1,44;64;10,13;3,05;32;-1,34;0,05;9;0,4;A
berusting;4,17;0,98;64;2,66;1,04;64;3,8;1,35;64;10,26;2,44;32;-0,56;0,27;9;0;N
bes;4,58;0,83;64;3,36;1,09;64;3,17;1,16;63;5,13;1,61;32;-0,21;0,62;3;0,4;N
beschaafd;5,42;0,71;64;3,5;1,05;64;4,5;1,08;64;8,48;2,98;32;0,8;6,27;9;0;A
