Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
spurt;4,44;0,82;63;6;1,09;63;4,81;0,98;63;7,55;2,49;32;-1,16;0,07;5;1,3;N
spuug;2,61;0,81;64;4,19;1,18;64;3,62;1,1;63;5,1;1,78;32;0,74;5,44;5;0,4;N
spuwen;2,66;0,84;64;5,02;0,95;64;4,49;1,22;63;6,1;1,8;32;0;1,01;6;0,4;V
squash;4,66;0,88;64;6,08;1,01;64;4,35;0,97;63;10,23;2,69;32;-0,06;0,87;6;0,4;N
staaf;3,91;0,61;64;3,5;1,13;64;4,5;1,17;64;6,42;2,22;32;0,22;1,67;5;0;N
staak;3,47;0,72;60;3,47;1,24;60;4,22;1,12;60;7,62;2,78;30;0,53;3,41;5;6,3;N
staal;4,05;0,65;64;3,27;1,3;63;5,34;1,22;64;7,97;3,08;32;1,01;10,18;5;0,4;N
staan;4,08;0,54;64;3,73;1,17;64;4,09;0,99;64;4,23;1,75;32;2,63;421,75;5;0;V
staart;4,11;0,59;64;3,71;1,07;63;3,72;0,97;64;4,39;1,99;32;1,25;17,95;6;0,4;N
staat;4,02;0,72;64;3,55;1,31;64;4,63;1,19;64;7,81;2,77;32;2,81;652,88;5;0;N
stabiel;5,45;0,73;64;3,13;1,2;64;5,03;1,17;64;8,55;2,72;32;1,04;11,09;7;0;A
stad;4,56;0,79;64;5,28;1,31;64;4,7;1,14;64;5,13;1,54;32;2,44;272,61;4;0;N
staf;4,05;0,55;64;3,53;1,15;64;4,47;1,31;64;5,65;2,12;32;1,07;11,62;4;0;N
stage;4,47;1,05;64;4,91;1,15;64;3,86;1,07;64;10,68;3,29;32;0,47;2,93;5;0;N
staken;2,89;1,01;64;4,28;1,53;64;4,48;1,4;64;9,1;2,94;32;0,88;7,52;6;0;V
stakker;2,7;0,77;64;3,5;1,02;64;2,6;1,3;63;8,13;2,42;32;0,7;4,99;7;0,4;N
stal;3,84;0,86;64;3,53;1,13;64;3,59;1,02;64;5,71;2,21;32;1,34;22,07;4;0;N
stam;4,25;0,64;64;3,11;1,21;64;4,34;1,04;64;6,29;1,7;32;1,1;12,46;4;0;N
stamp;3,11;0,78;64;4,97;1,02;63;4,88;1,16;64;5,94;2,22;32;0,12;1,3;5;0,4;N
stampen;3,02;0,79;64;5,41;0,99;64;4,95;1;64;5,45;2,08;32;0,26;1,83;7;0;V
stand;4,22;0,77;64;3,25;0,99;64;4,17;1,13;64;6,87;2,39;32;1,2;15,71;5;0;N
standbeeld;4,33;0,64;64;2,39;1,5;64;4,58;1,32;64;5,81;1,72;32;0,67;4,64;10;0;N
standvastig;5,27;0,82;64;4,14;1,31;64;5,5;1,05;64;10,26;3,16;32;0,06;1,14;11;0;A
stang;3,7;0,66;64;3,25;1,31;63;4,32;1,26;62;7,97;2,71;31;0,36;2,31;5;1,8;N
stank;2,17;0,86;64;4,11;1,21;64;4,78;1,51;64;5,74;1,67;32;1,05;11,14;5;0;N
stap;4,19;0,43;64;4,34;1,03;64;4;0,93;64;4,58;2,05;32;2,1;126,53;4;0;N
stapel;4,11;0,76;64;3,55;1,1;64;4,22;1,05;64;5,74;1,81;32;1,01;10,22;6;0;N
stappen;4,55;0,82;64;4,83;0,94;64;4,25;0,78;64;5,71;3,2;32;1,53;33,84;7;0;V
star;3,05;1,01;63;3,06;1,38;63;4,11;1,38;61;10,39;3,37;31;0,9;8,03;4;2,2;A
staren;3,36;0,74;64;3,08;1,21;64;3,88;1,24;64;6,87;2,74;32;1,12;13,08;6;0;V
start;4,7;0,66;64;5,03;1,19;64;4,52;0,89;64;4,9;1,4;32;1,57;37,11;5;0;N
starten;4,73;0,67;64;4,98;0,83;63;4,42;0,89;64;5,61;1,58;32;1,27;18,48;7;0,4;V
station;4,13;0,68;64;4,59;1,31;64;4,03;0,98;64;5,65;1,74;32;1,45;28,04;7;0;N
status;4,84;0,86;64;3,91;1,09;64;4,94;1,33;64;9,19;2,66;32;1,03;10,75;6;0;N
steeds;4,08;0,6;64;4,13;1,39;63;4,48;1,11;64;5,84;1,88;32;2,68;476,75;6;0,4;A
steeg;3,47;0,84;64;3,45;1,39;64;3,64;1,13;64;7,23;2,38;32;0,94;8,74;5;0;N
steek;3,11;0,82;64;4,42;1,23;64;4,38;1,18;64;6,4;1,87;31;1,68;48,39;5;0,4;N
